Date,Open,High,Low,Close,Adj Close,Volume
2023-11-22,14.75,15.5,14.25,14.25,14.25,3690860
2023-11-23,14.25,14.75,14.0,14.5,14.5,2000180
2023-11-24,14.25,14.5,13.25,13.25,13.25,3157360
2023-11-27,13.5,13.5,12.75,13.25,13.25,2515080
2023-11-28,13.0,13.75,12.5,13.25,13.25,4086356
2023-11-29,13.5,14.0,13.25,13.25,13.25,2543984
2023-11-30,13.5,14.0,13.25,13.5,13.5,4629068
2023-12-01,13.5,14.0,13.25,13.75,13.75,2455208
2023-12-04,13.75,13.75,13.0,13.0,13.0,1886056
2023-12-05,13.0,13.75,13.0,13.75,13.75,2355684
2023-12-06,14.0,14.0,13.25,13.5,13.5,1564588
2023-12-07,13.5,14.0,13.25,13.25,13.25,2736492
2023-12-08,13.25,13.75,12.5,12.75,12.75,3603480
2023-12-11,12.75,13.0,12.5,12.75,12.75,1170552
2023-12-12,12.75,13.0,12.5,12.75,12.75,1858912
2023-12-13,12.75,13.25,12.25,13.25,13.25,4485032
2023-12-14,13.25,13.75,12.5,12.5,12.5,3134184
2023-12-15,11.9399995803833,12.0600004196167,11.170000076293945,11.170000076293945,11.170000076293945,19619700
2023-12-18,11.229999542236328,11.40999984741211,10.239999771118164,10.239999771118164,10.239999771118164,11689400
2023-12-19,10.279999732971191,10.539999961853027,10.050000190734863,10.050000190734863,10.050000190734863,7394400
2023-12-20,10.100000381469727,11.5,10.079999923706055,10.9399995803833,10.9399995803833,11953800
2023-12-21,10.989999771118164,11.0600004196167,10.329999923706055,10.380000114440918,10.380000114440918,5324300
2023-12-22,10.359999656677246,10.979999542236328,10.359999656677246,10.920000076293945,10.920000076293945,4105700
2023-12-26,10.920000076293945,11.359999656677246,10.8100004196167,10.9399995803833,10.9399995803833,3491400
2023-12-27,10.9399995803833,11.649999618530273,10.9399995803833,11.600000381469727,11.600000381469727,6161600
2023-12-28,11.550000190734863,11.609999656677246,11.25,11.380000114440918,11.380000114440918,3660200
2024-01-02,11.34000015258789,11.699999809265137,11.0,11.100000381469727,11.100000381469727,4191900
2024-01-03,11.029999732971191,11.260000228881836,10.9399995803833,10.960000038146973,10.960000038146973,2340000
2024-01-04,10.9399995803833,10.960000038146973,10.350000381469727,10.350000381469727,10.350000381469727,3046600
2024-01-05,10.300000190734863,10.800000190734863,10.279999732971191,10.399999618530273,10.399999618530273,2888800
2024-01-08,10.359999656677246,11.100000381469727,10.3100004196167,11.100000381469727,11.100000381469727,3271900
2024-01-09,10.90999984741211,11.260000228881836,10.800000190734863,10.949999809265137,10.949999809265137,2773300
